@RELATION riaa
@ATTRIBUTE ratio_0_9 NUMERIC
@ATTRIBUTE ratio_1_9 NUMERIC
@ATTRIBUTE ratio_2_9 NUMERIC
@ATTRIBUTE ratio_21_9 NUMERIC
@ATTRIBUTE ratio_22_9 NUMERIC
@ATTRIBUTE ratio_23_9 NUMERIC
@ATTRIBUTE ratio_4_0 NUMERIC
@ATTRIBUTE ratio_5_0 NUMERIC
@ATTRIBUTE ratio_6_0 NUMERIC
@ATTRIBUTE class {riaa_ok, riaa_ko}
@DATA
0.69311690, 0.84325063, 0.88763958, 0.87916529, 0.75103700, 0.58550590, 1.32778680, 1.31712508, 1.35815907, riaa_ok
0.56445920, 0.78309143, 0.87302500, 0.59345835, 0.43592587, 0.27898952, 1.59484994, 1.72638941, 1.83705127, riaa_ok
0.73987144, 0.91800249, 0.93904704, 1.09612668, 0.93113005, 0.71604282, 1.25510418, 1.21925163, 1.21587563, riaa_ok
1.55758035, 2.09094620, 2.16946483, 1.35532594, 1.62018466, 1.22821045, 1.32663596, 1.12821591, 0.92997783, riaa_ok
0.67988217, 0.90569532, 1.01725376, 0.63290346, 0.48078945, 0.31294519, 1.54878175, 1.48054409, 1.44685793, riaa_ok
0.66656774, 0.80534667, 0.85781670, 0.67312241, 0.58269167, 0.44969982, 1.33050025, 1.35289729, 1.42656040, riaa_ok
0.74141240, 0.93707067, 1.04271293, 0.33107257, 0.21006973, 0.10965869, 1.50092757, 1.50562727, 1.51669431, riaa_ok
0.63756204, 0.74616718, 0.84629220, 0.70925039, 0.62589073, 0.48652095, 1.44893646, 1.57137012, 1.56871521, riaa_ok
0.37115011, 0.72349149, 1.01230550, 0.22199519, 0.11853509, 0.04451438, 3.25453329, 3.28994012, 3.30938816, riaa_ok
0.77277303, 0.96588111, 1.05749416, 0.57896733, 0.48950785, 0.35727438, 1.40959251, 1.34020460, 1.32379508, riaa_ok
0.82305223, 1.12442648, 1.41704679, 0.05039228, 0.01419818, 0.00192088, 2.05090499, 1.97039568, 1.78838491, riaa_ok
0.36594388, 0.56603104, 0.73057216, 0.48441106, 0.36336461, 0.22561084, 2.45170522, 2.61561942, 2.78192377, riaa_ok
0.61823767, 0.74786222, 0.80869943, 0.55752999, 0.45279023, 0.32698372, 1.40253782, 1.46492457, 1.50763702, riaa_ok
0.67182994, 0.79796124, 0.82537323, 0.71572584, 0.57391566, 0.41506425, 1.28213286, 1.30040991, 1.31136382, riaa_ok
0.82343912, 0.93600613, 0.93963307, 0.71501136, 0.57795322, 0.41404274, 1.15160739, 1.17609942, 1.22873235, riaa_ok
0.65766960, 0.84188080, 0.89435858, 0.69188637, 0.56910139, 0.41604668, 1.41024780, 1.38203442, 1.43074119, riaa_ok
0.70300698, 0.85076743, 0.90169835, 0.75921673, 0.62669355, 0.46568981, 1.34049380, 1.33806241, 1.39341438, riaa_ok
0.94224679, 1.12538517, 1.50233662, 0.63240027, 0.53150803, 0.39999992, 1.87355828, 1.80948496, 1.60575938, riaa_ok
0.63496900, 0.79186481, 0.84896702, 0.77451426, 0.64714217, 0.49259225, 1.39103067, 1.37074399, 1.47867441, riaa_ok
0.64943910, 0.81449741, 0.86127657, 0.78079337, 0.65436435, 0.49857241, 1.38741791, 1.43734181, 1.49813688, riaa_ok
0.82493234, 1.00253916, 1.01797259, 0.74072784, 0.61107004, 0.44958407, 1.24340153, 1.21413350, 1.23806894, riaa_ok
0.74791741, 0.89782888, 0.91637141, 0.92925811, 0.79302895, 0.62087578, 1.20201957, 1.16555560, 1.20475316, riaa_ok
0.74372900, 0.92288488, 1.00230587, 0.60926288, 0.50924194, 0.37135324, 1.45299530, 1.43767905, 1.44726479, riaa_ok
